Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
SICKO MODE,Travis Scott,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,2xLMifQCjDGFmkHkpNLD9h,81,2018-08-03,312820,True,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008
Sorry,Justin Bieber,Purpose (Deluxe),7fZH0aUAjY3ay25obOUf2a,69bp2EbF7Q2rqc5N3ylezZ,2,2015-11-13,200787,False,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",Peace Is The Mission,2XBnxKeRZi76u2iyGcMych,4WjH9Bzt3kx7z8kl0awxh4,1,2015-05-29,176561,False,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007
New Rules,Dua Lipa,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,2ekn2ttSfGqwhhate0LSR0,78,2017-06-02,209320,False,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
Heartless,"Alexcis, Wallie the Sensei, TK RUN IT UP",Heartless,07WHsmKTEi9hZ7TVREUjCP,2tfZPbEIwU2TdlRdtCiFoF,30,2024-10-25,150976,True,https://open.spotify.com/track/2tfZPbEIwU2TdlRdtCiFoF,0.787,0.525,1,-6.883,0,0.0607,0.406,2.53e-05,0.126,0.0885,115.034
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),3wBabo4pmzsYjALMSKY7Iq,7JJmb5XwzOO8jgpou264Ml,84,2017-04-20,199440,False,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,0.866,0.811,11,-4.063,0,0.0553,0.375,0.0,0.078,0.969,121.995
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),04m06KhJUuwe1Q487puIud,463CkQjx2Zk1yXoBuierM9,65,2020-10-01,203064,False,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),2UJcKiJxNryhL050F5Z1Fk,4CeeEOM32jQcH3eN9Q2dGj,80,1991-09-26,301920,False,https://open.spotify.com/track/4CeeEOM32jQcH3eN9Q2dGj,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",Cold Heart (PNAU Remix),5D8Rdb09BkmHscEGSWAlA6,6zSpb8dQRaw0M1dK8PBwQz,79,2021-08-13,202735,False,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
Vybez,"Mj Grizz, Tory Lanez",Vybez,18cO5EYvLJBbUtdZPGSlSs,20hybmXCYRuRJfB6T7idxd,56,2024-10-11,229645,True,https://open.spotify.com/track/20hybmXCYRuRJfB6T7idxd,0.617,0.543,6,-9.29,0,0.0741,0.0213,0.0,0.12,0.377,101.135
Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),3TJz2UBNYJtlEly0sPeNrQ,1mXVgsBdtIVeCLJnSnmtdV,81,2017-11-03,201000,False,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,0.715,0.372,5,-8.237,1,0.0443,0.638,0.0,0.169,0.474,91.931
Stay With Me,Sam Smith,In The Lonely Hour,1tA4JdOpNQUyutfQtmMesJ,2whoe0pPKh4JRn6eWSIqTV,0,2014-01-01,172724,False,https://open.spotify.com/track/2whoe0pPKh4JRn6eWSIqTV,0.414,0.419,0,-6.431,1,0.0388,0.55,0.000195,0.11,0.18,84.082
Daydreaming,Bruklin,Daydreaming,2s5mdldGq2eNpv5Ma9eUwu,6QkEV7Krf7WV2UdILlgN4Z,39,2024-10-16,153529,False,https://open.spotify.com/track/6QkEV7Krf7WV2UdILlgN4Z,0.754,0.719,9,-3.221,0,0.117,0.0257,0.0,0.0775,0.523,84.887
Kill Bill,SZA,SOS,07w0rG5TETcyihsEIZR3qG,3OHfY25tqY28d16oZczHc8,77,2022-12-09,153947,False,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993
Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,2vD3zSQr8hNlg0obNel4TE,1rfofaqEpACxVEHIZBJe6W,80,2018-01-12,217307,False,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
