title,rank,date,artist,url,region,chart,trend,streams
Let It Snow! Let It Snow! Let It Snow!,9,2020-12-24,Dean Martin,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,Global,top200,MOVE_UP,8276576.0
Feliz Navidad,10,2020-12-24,José Feliciano,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId,Global,top200,MOVE_UP,8269001.0
Lose You To Love Me,1,2019-10-25,Selena Gomez,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,Global,top200,SAME_POSITION,8166076.0
TSU,9,2021-09-03,Drake,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW,Global,top200,NEW_ENTRY,8070577.0
Peaches (feat. Daniel Caesar & Giveon),2,2021-04-09,Justin Bieber,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,Global,top200,SAME_POSITION,8020169.0
Beggin',1,2021-07-16,Måneskin,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,Global,top200,SAME_POSITION,8005228.0
HIGHEST IN THE ROOM,1,2019-10-04,Travis Scott,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,Global,top200,NEW_ENTRY,8000249.0
ME! (feat. Brendon Urie of Panic! At The Disco),1,2019-04-26,Taylor Swift,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,Global,top200,NEW_ENTRY,7945784.0
Look What You Made Me Do,1,2017-08-25,Taylor Swift,https://open.spotify.com/track/2VjtYe7gpfUi2OkGxR2O2z,Global,top200,NEW_ENTRY,7908492.0
Jocelyn Flores,2,2018-06-19,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,Global,top200,MOVE_UP,7900110.0
positions,1,2020-10-30,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Global,top200,SAME_POSITION,7829519.0
Mistletoe,11,2020-12-24,Justin Bieber,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,Global,top200,MOVE_UP,7811200.0
Sleigh Ride,12,2020-12-24,The Ronettes,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr,Global,top200,MOVE_UP,7781116.0
Dynamite,1,2020-08-21,BTS,https://open.spotify.com/track/0v1x6rN6JHRapa03JElljE,Global,top200,NEW_ENTRY,7778950.0
Hurricane,3,2021-08-30,Kanye West,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o,Global,top200,SAME_POSITION,7750774.0
cardigan,1,2020-07-24,Taylor Swift,https://open.spotify.com/track/4LEK9rD7TWIG4FCL1s27XC,Global,top200,NEW_ENTRY,7742178.0
"break up with your girlfriend, i'm bored",2,2019-02-11,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,Global,top200,SAME_POSITION,7709744.0
Do They Know It's Christmas? - 1984 Version,13,2020-12-24,Band Aid,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,Global,top200,MOVE_UP,7690866.0
Emotionless,3,2018-06-29,Drake,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n,Global,top200,NEW_ENTRY,7690019.0
Driving Home for Christmas - 2019 Remaster,14,2020-12-24,Chris Rea,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R,Global,top200,MOVE_UP,7569612.0
Elevate,4,2018-06-29,Drake,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7,Global,top200,NEW_ENTRY,7502102.0
THE SCOTTS,1,2020-04-24,"THE SCOTTS, Travis Scott, Kid Cudi",https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,Global,top200,NEW_ENTRY,7446848.0
The Box,2,2020-01-17,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,Global,top200,SAME_POSITION,7427860.0
the 1,2,2020-07-24,Taylor Swift,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,Global,top200,NEW_ENTRY,7420303.0
